iter	Passed	Remaining
846	6597	1191
847	6605	1183
848	6614	1176
849	6622	1168
850	6629	1160
851	6636	1152
852	6644	1144
853	6650	1136
854	6658	1129
855	6665	1121
856	6673	1113
857	6679	1105
858	6687	1097
859	6694	1089
860	6700	1081
861	6710	1074
862	6718	1066
863	6725	1058
864	6732	1050
865	6740	1043
866	6750	1035
867	6758	1027
868	6765	1019
869	6773	1012
870	6780	1004
871	6788	996
872	6795	988
873	6804	980
874	6812	973
875	6821	965
876	6828	957
877	6836	949
878	6843	942
879	6852	934
880	6858	926
881	6866	918
882	6873	910
883	6881	903
884	6888	895
885	6895	887
886	6904	879
887	6911	871
888	6920	864
889	6927	856
890	6935	848
891	6942	840
892	6950	832
893	6957	824
894	6965	817
895	6972	809
896	6981	801
897	6988	793
898	6995	785
899	7002	778
900	7009	770
901	7018	762
902	7027	754
903	7035	747
904	7043	739
905	7051	731
906	7058	723
907	7069	716
908	7076	708
909	7084	700
910	7090	692
911	7105	685
912	7113	677
913	7122	670
914	7132	662
915	7140	654
916	7148	647
917	7154	639
918	7163	631
919	7169	623
920	7177	615
921	7184	607
922	7192	600
923	7198	592
924	7205	584
925	7215	576
926	7222	568
927	7229	560
928	7236	553
929	7244	545
930	7251	537
931	7259	529
932	7266	521
933	7275	514
934	7282	506
935	7290	498
936	7297	490
937	7305	482
938	7311	475
939	7318	467
940	7328	459
941	7335	451
942	7343	443
943	7349	436
944	7358	428
945	7365	420
946	7373	412
947	7381	404
948	7391	397
949	7398	389
950	7406	381
951	7413	373
952	7422	366
953	7431	358
954	7440	350
955	7446	342
956	7455	334
957	7462	327
958	7471	319
959	7478	311
960	7488	303
961	7496	296
962	7506	288
963	7517	280
964	7530	273
965	7540	265
966	7550	257
967	7558	249
968	7568	242
969	7576	234
970	7586	226
971	7594	218
972	7603	210
973	7611	203
974	7621	195
975	7633	187
976	7644	179
977	7653	172
978	7663	164
979	7672	156
980	7682	148
981	7689	140
982	7699	133
983	7707	125
984	7717	117
985	7725	109
986	7737	101
987	7748	94
988	7756	86
989	7766	78
990	7774	70
991	7784	62
992	7792	54
993	7801	47
994	7809	39
995	7818	31
996	7828	23
997	7835	15
998	7844	7
999	7854	0
